Product ID,Language,Store,Name,Model,Description,Meta Title,Meta Description,Meta Keyword,Tag,Main Image,Barcode,SKU,UPC,EAN,JAN,ISBN,MPN,Location,Price,Tax Class ID,Tax Class,Quantity,Minimum Quantity,Subtract Stock,Stock Status ID,Stock Status,Shipping,SEO,Date Available,Length,Length Class ID,Length Class,Width,Height,Weight,Weight Class ID,Weight Class,Status,Sort Order,Manufacturer ID,Manufacturer,Category ids,Categories,Filters (Filter Group :: filter Value),Download,Related Products,Attributes (attribute_Group::attribute::text),Discount (Customer Group id::Quantity::Priority::Price::startdate::Enddate),Special (Customer_group_id::Priority::Price::startdate::Enddate),"Sub Images (image1,image2)",Reward,Viewed,Slug,The Largest Quantity Can Be Ordered,Cost Price,"Unlimited Quantity (1 => true , 0 => false)"
373,en,default,Indian ground cardamom,373,"<div class=""YQaNob"" data-cp=""1"" data-is-ver=""false"" data-nnttsvi=""1"" data-sm=""1"" data-sugg-time=""500"" data-sugg-url=""https://clients1.google.com/complete/search"" data-uilc=""ar"" id=""tw-container"" style=""width: 652px; color: rgb(32, 33, 36); font-family: ""Helvetica Neue"", ""Noto Naskh Arabic UI"", Arial, sans-serif; font-size: large;""><g-expandable-container jscontroller=""UxJOle"" data-slct=""mnr-c"" jsshadow="""" jsaction=""C7xow:Z6bwpe;xNpQtd:Nh5q2c;U6VCqe:GsRPff;Ep2Mgc:AgioGc;BDs6B:fW2qAb;ep03Ne:AvkpRc;gvA4Rc:yELBLe"" style=""display: block;""><div jsname=""gI9xcc"" jsslot=""1""><div jscontroller=""geqCid"" jsdata=""SANFE;_;AhEnF4"" jsaction=""uQxhTd:d4hecb;lWUBqb:TO5MWb;IcWBXe:hLaFAe;KFlBO:UuREqb;M2HAEc:eNrnOd;rcuQ6b:npT2md""><div class=""tw-src-rtl"" id=""tw-ob"" style=""display: flex; min-height: 140px; position: relative;""><div class=""oSioSc"" style=""-webkit-box-flex: 1; flex: 1 1 0%; width: 0px; display: flex;""><div id=""tw-target"" style=""font-size: 0px; margin: 0px; position: relative; text-align: initial; background-color: rgb(248, 249, 250); border-radius: 8px; -webkit-box-flex: 1; flex: 1 1 0%; min-width: 0px; width: 0px; display: flex; flex-direction: column;""><div id=""kAz1tf"" class=""g9WsWb"" style=""margin: 0px; position: relative; text-align: initial; padding: 10px 16px 48px; flex: 1 1 auto;""><div class=""tw-ta-container hide-focus-ring tw-nfl"" id=""tw-target-text-container"" tabindex=""0"" style=""overflow: hidden; position: relative; outline: 0px;""><pre class=""tw-data-text tw-text-large XcVN5d tw-ta"" data-placeholder=""الترجمة"" id=""tw-target-text"" dir=""ltr"" style=""unicode-bidi: isolate; font-size: 28px; line-height: 36px; background-color: transparent; border-width: initial; border-style: none; border-color: initial; padding: 2px 0px 2px 0.14em; position: relative; margin-top: -2px; margin-bottom: -2px; resize: none; font-family: inherit; overflow: hidden; width: 270px; white-space: pre-wrap;""><span class=""Y2IQFc"" lang=""en"">Indian cardamom special 500 gm</span></pre><div><span class=""Y2IQFc"" lang=""en""><br></span></div></div><div class=""tw-target-rmn tw-ta-container hide-focus-ring tw-nfl"" id=""tw-target-rmn-container"" style=""overflow: hidden; position: relative; outline: 0px;""><pre class=""tw-data-placeholder tw-text-small tw-ta"" data-placeholder="""" id=""tw-target-rmn"" dir=""ltr"" style=""unicode-bidi: isolate; background-color: transparent; border-width: initial; border-style: none; border-color: initial; padding: 0px 0px 0px 0.14em; position: relative; resize: none; font-family: inherit; overflow: hidden; width: 270px; white-space: pre-wrap; font-size: 16px; line-height: 24px; color: black;""><span class=""Y2IQFc""></span></pre></div><div jsname=""fek9E"" class=""iYB33c"" style=""display: flex; justify-content: space-between; width: 302px; position: absolute; bottom: 0px; right: 0px; height: 48px;""><div class=""dlJLJe"" style=""display: flex; margin: 10px auto 0px 11px;""><div jscontroller=""zkUZDe"" data-cviv=""false"" jsaction=""R4nmZb:npT2md;C1RXse:PoUyQd"" data-ved=""2ahUKEwi59K2Io4fxAhUV3IUKHRoTDjkQz_AEMAB6BAgCEA4"" style=""visibility: hidden; position: relative;""><g-bubble jscontroller=""BlFnV"" data-tp=""5"" jsshadow=""""><span jsname=""d6wfac"" class=""povykd"" data-extra-container-classes=""tw-verified-tooltip"" data-hover-hide-delay=""1000"" data-hover-open-delay=""500"" data-theme=""0"" data-width=""0"" role=""button"" tabindex=""0"" jsaction=""vQLyHf"" jsslot="""" style=""outline: 0px; display: inline-block;""><div class=""U9URNb"" style=""opacity: 0.74; color: rgb(34, 34, 34); font-size: 12px; font-style: italic; min-width: 26px; margin: -11px; padding: 11px;""><g-img class=""XrZwB"" aria-label=""رمز ""تم التحقق منها بواسطة المنتدى"""" role=""img"" style=""display: inline-block; height: 26px; padding-right: 5px; vertical-align: middle;""><img id=""dimg_12"" src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABQAAAAUCAQAAAAngNWGAAAA/0lEQVR4AYXNMSiEcRyA4cfmGHQbCZIipkuxnJgMStlMNmeyD2dwmc8+sZgxYJd9ErIZFHUyYYD7fkr6l4/rnvmtl7+KitrqV/fq2Y5eLY3Z9S48eRLe7BmVZ9qhTLhQ0algzZWQOVKSsCF8OjAnwbxDTWFDUhPK/jMr1H6HE/IqRky2DyvCefuwItwZzodVoYRiLqMkVCXrwpJ9twZ+sgfDYEFYl8wIWxZ9uFf7zkallxlJh4YrLGsKjZRx7VGHhLqwgFUN45DGdb8MeXGpgB4ABZdeDcpZEY51A+hyLKz4S1W4MQWm3AibWtgWmk6dyISa1pSdyWTOlLXVp0+eL9D/ZPfBTNanAAAAAElFTkSuQmCC"" class=""rISBZc M4dUYb"" height=""16"" width=""16"" alt=""رمز ""تم التحقق منها بواسطة المنتدى"""" data-atf=""0"" style=""display: block; position: relative; padding-top: 3px;""></g-img><span jsname=""U2jMLc"" class=""nlMhfd"" style=""display: inline-block; height: 26px; line-height: 26px; word-break: break-all;""></span></div></span></g-bubble></div></div><div class=""tw-menu"" id=""tw-tmenu"" style=""display: inline-block; line-height: normal; position: absolute; right: 0px; white-space: nowrap;""><span class=""tw-menu-btn"" data-action-target=""target"" jsaction=""kImuFf"" id=""tw-cpy-btn"" title=""نسخ"" aria-label=""نسخ النص"" role=""button"" tabindex=""0"" data-ved=""2ahUKEwi59K2Io4fxAhUV3IUKHRoTDjkQ69UBMAB6BAgCEBE"" style=""display: inline-block; height: 48px; color: rgba(0, 0, 0, 0.54); overflow: hidden; width: 48px; outline: 0px; transform: rotateX(180deg);""><span class=""tw-menu-btn-image z1asCe wm4nBd"" style=""display: inline-block; fill: currentcolor; height: 24px; line-height: 24px; position: relative; width: 24px; border: 1px solid transparent; padding: 10px; color: rgb(112, 117, 122);""><svg focusable=""false"" xmlns=""http://www.w3.org/2000/svg"" enable-background=""new 0 0 24 24"" height=""24"" viewBox=""0 0 24 24"" width=""24""><g><rect fill=""none"" height=""24"" width=""24""></rect></g><g><path d=""M16,20H5V6H3v14c0,1.1,0.9,2,2,2h11V20z M20,16V4c0-1.1-0.9-2-2-2H9C7.9,2,7,2.9,7,4v12c0,1.1,0.9,2,2,2h9 C19.1,18,20,17.1,20,16z M18,16H9V4h9V16z""></path></g></svg></span></span><span jscontroller=""q3PNq"" class=""tw-menu-btn za3ale"" data-action-target=""target"" data-sttse=""true"" id=""tw-spkr-button"" aria-label=""تحويل النص إلى كلام"" role=""button"" tabindex=""0"" jsaction=""KjsqPd;rcuQ6b:npT2md;WxjQaf:WRB97d;UpNfPc:Xnrsoe;f2MWRb:QKiGd"" data-ved=""2ahUKEwi59K2Io4fxAhUV3IUKHRoTDjkQ8DQwAHoECAIQEg"" style=""display: inline-block; height: 48px; color: rgba(0, 0, 0, 0.54); overflow: hidden; width: 48px; outline: 0px;""><span class=""tw-menu-btn-image z1asCe JKu1je"" title=""الاستماع"" style=""display: inline-block; fill: currentcolor; height: 24px; line-height: 24px; position: relative; width: 24px; border: 1px solid transparent; padding: 12px 10px 8px; color: rgb(112, 117, 122);""><svg focusable=""false"" xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 24 24""><path d=""M3 9v6h4l5 5V4L7 9H3zm13.5 3c0-1.77-1.02-3.29-2.5-4.03v8.05c1.48-.73 2.5-2.25 2.5-4.02zM14 3.23v2.06c2.89.86 5 3.54 5 6.71s-2.11 5.85-5 6.71v2.06c4.01-.91 7-4.49 7-8.77s-2.99-7.86-7-8.77z""></path></svg></span></span></div></div><g-info-bubble id=""tw-info-bubble"" jscontroller=""f3ruEc"" jsaction=""rcuQ6b:npT2md""></g-info-bubble></div></div></div></div><div id=""tw-images""></div><div class=""dURPtb"" style=""clear: both; overflow: hidden; line-height: 16px;""></div><div jsaction=""iJE3Ge:yuFC7d;DmzWq:nuBux""><g-expandable-container jsname=""FYBCae"" jscontroller=""UxJOle"" data-slct=""mnr-c"" jsshadow="""" jsaction=""C7xow:Z6bwpe;xNpQtd:Nh5q2c;U6VCqe:GsRPff;Ep2Mgc:AgioGc;BDs6B:fW2qAb;ep03Ne:AvkpRc;gvA4Rc:yELBLe"" style=""display: block;""><div jsname=""gI9xcc"" jsslot=""1""></div></g-expandable-container></div></div></div></g-expandable-container></div><div class=""KFFQ0c xKf9F"" style=""margin-top: 16px; align-items: center; display: flex; margin-bottom: 0px; width: 652px; color: rgb(32, 33, 36); font-family: ""Helvetica Neue"", ""Noto Naskh Arabic UI"", Arial, sans-serif; font-size: large;""></div>",,,,,https://JZEXDN6388.expandcart.com/ecdata/stores/JZEXDN6388/image/data/products/1623129038_WhatsApp_Image_2021-06-07_at_10.08.26_PM.jpeg,373,373,,,,,,,6,0,,98,0,1,6,2 - 3 Days,1,,2021-06-19,0,1,Centimeter,0,0,0,1,Kilogram,0,1,2,No Brand,417,alsharae  products > Indian cardamom,,,476,,,,,0,741,indian-ground-cardamom,0,5,0
373,ar,default,هيل هندي مطحون,373,<p>نضمن لكم بانه يحضر بشكل يومي </p>,,,,,https://JZEXDN6388.expandcart.com/ecdata/stores/JZEXDN6388/image/data/products/1623129038_WhatsApp_Image_2021-06-07_at_10.08.26_PM.jpeg,373,373,,,,,,,6,0,,98,0,1,6,2 - 3 أيام,1,,2021-06-19,0,1,سنتيمتر,0,0,0,1,كيلو جرام,0,1,2,No Brand,417, منتجات الشرع > الهيل الهندي,,,476,,,,,0,741,هيل-هندي-مطحون,0,5,0
374,en,default,Dates With Steam Sesame,374,"<p>The dates are steam cooked without sugar, and the main thing is dates and sesame<br></p>",,,,,https://JZEXDN6388.expandcart.com/ecdata/stores/JZEXDN6388/image/data/products/1689262104_%D8%AD%D9%84%D9%88%D9%8A_%D8%A7%D9%84%D8%AA%D9%85%D8%B1_%D8%A8%D8%A7%D9%84%D8%B3%D9%85%D8%B3%D9%85_5_%D8%B1%D9%8A%D8%A7%D9%84.jpg,,374,,,,,,,5,0,,82,0,1,6,2 - 3 Days,1,,2021-06-19,0,1,Centimeter,0,0,0,1,Kilogram,1,1,2,No Brand,401,dates,,,"374, 375, 376, 377, 378, 462",,,,,0,1815,dates-with-steam-sesame,0,4.5,0
374,ar,default,حلوى التمر بالبخار السمسمية,374,<p>يتم طبخ التمر بالبخار الخالية من السكر ومكونة الرئيسي التمر والسمسم<br></p>,,,,,https://JZEXDN6388.expandcart.com/ecdata/stores/JZEXDN6388/image/data/products/1689262104_%D8%AD%D9%84%D9%88%D9%8A_%D8%A7%D9%84%D8%AA%D9%85%D8%B1_%D8%A8%D8%A7%D9%84%D8%B3%D9%85%D8%B3%D9%85_5_%D8%B1%D9%8A%D8%A7%D9%84.jpg,,374,,,,,,,5,0,,82,0,1,6,2 - 3 أيام,1,,2021-06-19,0,1,سنتيمتر,0,0,0,1,كيلو جرام,1,1,2,No Brand,401,التمور,,,"374, 375, 376, 377, 378, 462",,,,,0,1815,حلوى-التمر-بالبخار-السمسمية,0,4.5,0
375,en,default,Dates Steamed Dessert With Figs,375,<p>The dates are steam cooked with sugar free and the main ingredient is dates and figs<br></p>,,,,,https://JZEXDN6388.expandcart.com/ecdata/stores/JZEXDN6388/image/data/products/1689262577_%D8%AD%D9%84%D9%88%D9%8A_%D8%A7%D9%84%D8%AA%D9%85%D8%B1_%D8%A8%D8%A7%D9%84%D8%AA%D9%8A%D9%86_5_%D8%B1%D9%8A%D8%A7%D9%84.jpg,,375,,,,,,,5,0,,86,0,1,6,2 - 3 Days,1,,2021-06-19,0,1,Centimeter,0,0,0,1,Kilogram,1,1,2,No Brand,401,dates,,,"374, 375, 376, 377, 378, 462, 482, 644",,,,,0,2074,dates-steamed-dessert-with-figs,0,4.5,0
375,ar,default,حلوى التمر بالبخار بالتين,375,<p>يتم طبخ التمر بالبخار الخالية من السكر ومكونة الرئيسي التمر و التين<br></p>,,,,,https://JZEXDN6388.expandcart.com/ecdata/stores/JZEXDN6388/image/data/products/1689262577_%D8%AD%D9%84%D9%88%D9%8A_%D8%A7%D9%84%D8%AA%D9%85%D8%B1_%D8%A8%D8%A7%D9%84%D8%AA%D9%8A%D9%86_5_%D8%B1%D9%8A%D8%A7%D9%84.jpg,,375,,,,,,,5,0,,86,0,1,6,2 - 3 أيام,1,,2021-06-19,0,1,سنتيمتر,0,0,0,1,كيلو جرام,1,1,2,No Brand,401,التمور,,,"374, 375, 376, 377, 378, 462, 482, 644",,,,,0,2074,حلوى-التمر-بالبخار-بالتين,0,4.5,0
376,en,default,Dates Dessert With Steam With Milk And Coconut,376,"<p>The dates are steam cooked with sugar free and the main ingredient is dates, milk and nargile<br></p>",,,,,https://JZEXDN6388.expandcart.com/ecdata/stores/JZEXDN6388/image/data/products/1689262712_%D8%AD%D9%84%D9%88%D9%8A_%D8%A7%D9%84%D8%AA%D9%85%D8%B1_%D8%A8%D8%A7%D9%84%D9%86%D8%A7%D8%B1%D8%AC%D9%8A%D9%84_%D9%88%D8%A7%D9%84%D8%AD%D9%84%D9%8A%D8%A8_5_%D8%B1%D9%8A%D8%A7%D9%84.jpg,,376,,,,,,,5,0,,88,0,1,6,2 - 3 Days,1,,2021-06-19,0,1,Centimeter,0,0,0,1,Kilogram,1,1,2,No Brand,401,dates,,,"374, 375, 377, 378, 462, 482, 644",,,,,0,1584,dates-dessert-with-steam-with-milk-and-coconut,0,4.5,0
376,ar,default,حلوى التمر بالبخار بالحليب والنارجيل,376,<p>يتم طبخ التمر بالبخار الخالية من السكر ومكونة الرئيسي التمر والحليب والنارجيل<br></p>,,,,,https://JZEXDN6388.expandcart.com/ecdata/stores/JZEXDN6388/image/data/products/1689262712_%D8%AD%D9%84%D9%88%D9%8A_%D8%A7%D9%84%D8%AA%D9%85%D8%B1_%D8%A8%D8%A7%D9%84%D9%86%D8%A7%D8%B1%D8%AC%D9%8A%D9%84_%D9%88%D8%A7%D9%84%D8%AD%D9%84%D9%8A%D8%A8_5_%D8%B1%D9%8A%D8%A7%D9%84.jpg,,376,,,,,,,5,0,,88,0,1,6,2 - 3 أيام,1,,2021-06-19,0,1,سنتيمتر,0,0,0,1,كيلو جرام,1,1,2,No Brand,401,التمور,,,"374, 375, 377, 378, 462, 482, 644",,,,,0,1584,حلوى-التمر-بالبخار-بالحليب-والنارجيل,0,4.5,0
377,en,default,Dates With Steam In Omani Bread,377,<p>The dates are steam cooked without sugar and the main ingredient is dates and Omani bread<br></p>,,,,,https://JZEXDN6388.expandcart.com/ecdata/stores/JZEXDN6388/image/data/products/1689262803_%D8%AD%D9%84%D9%88%D9%8A_%D8%A7%D9%84%D8%AA%D9%85%D8%B1_%D8%A8%D8%A7%D9%84%D8%AE%D8%A8%D8%B2_%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%86%D9%8A_5_%D8%B1%D8%A7%D9%84%D8%A7%D8%AA.jpg,,377,,,,,,,5,0,,94,0,1,6,2 - 3 Days,1,,2021-06-19,0,1,Centimeter,0,0,0,1,Kilogram,1,1,2,No Brand,401,dates,,,"374, 375, 376, 378, 462, 482, 644",,,,,0,1790,dates-with-steam-in-omani-bread,0,5.5,0
377,ar,default,حلوى التمر بالبخار بالخبز العماني,377,<p>يتم طبخ التمر بالبخار الخالية من السكر ومكونة الرئيسي التمر والخبز العماني<br></p>,,,,,https://JZEXDN6388.expandcart.com/ecdata/stores/JZEXDN6388/image/data/products/1689262803_%D8%AD%D9%84%D9%88%D9%8A_%D8%A7%D9%84%D8%AA%D9%85%D8%B1_%D8%A8%D8%A7%D9%84%D8%AE%D8%A8%D8%B2_%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%86%D9%8A_5_%D8%B1%D8%A7%D9%84%D8%A7%D8%AA.jpg,,377,,,,,,,5,0,,94,0,1,6,2 - 3 أيام,1,,2021-06-19,0,1,سنتيمتر,0,0,0,1,كيلو جرام,1,1,2,No Brand,401,التمور,,,"374, 375, 376, 378, 462, 482, 644",,,,,0,1790,حلوى-التمر-بالبخار-بالخبز-العماني,0,5.5,0
